Song,Artist
Celebration Station,Lil Uzi Vert
Bigger Than Life,Lil Uzi Vert
Venetia,Lil Uzi Vert
You Better Move,Lil Uzi Vert
Chrome Heart Tags,Lil Uzi Vert
Bust Me,Lil Uzi Vert
René,Residente
Secure The Bag,Lil Uzi Vert
Urgency (feat. Syd),Lil Uzi Vert
ON (Feat. Sia),BTS
P FKN R,"Bad Bunny, Kendo Kaponi, Arcangel"
Modern Loneliness,Lauv
Heatin Up (feat. Gunna),Lil Baby
SKYBOX,Gunna
Young & Alive,Bazzi
i'm so tired...,"Lauv, Troye Sivan"
"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie
Girl,Myke Towers
Puesto Pa' Guerrial,"Bad Bunny, Myke Towers"
Definitivamente,"Daddy Yankee, Sech"
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran
I Fall Apart,Post Malone
"fuck, i'm lonely (with Anne-Marie)",Lauv
Aventura,"Lunay, Ozuna, Anuel AA"
Rare,Selena Gomez
VIBEZ,DaBaby
Mean It,"Lauv, LANY"
That Way,Lil Uzi Vert
Live Off My Closet (feat. Future),Lil Baby
Commercial (feat. Lil Uzi Vert),Lil Baby
Sum 2 Prove,Lil Baby
Filter,BTS
Matrix,Apache 207
Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles"
Infeliz,"Arcangel, Bad Bunny"
Que Tire Pa Lante,Daddy Yankee
Futsal Shuffle 2020,Lil Uzi Vert
GOODMORNINGTOKYO!,TOKYO’S REVENGE
Own It (feat. Ed Sheeran & Burna Boy),Stormzy
"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future
My Time,BTS
100k Cash,"Capital Bra, Samra"
Drown (feat. Clinton Kane),Martin Garrix
me & ur ghost,blackbear
QUE PRETENDES,"J Balvin, Bad Bunny"
You Need To Calm Down,Taylor Swift
Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion"
Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny"
Trampoline (with ZAYN),SHAED
Truth Hurts,Lizzo
bury a friend,Billie Eilish
Louder than bombs,BTS
UGH!,BTS
00:00 (Zero O’Clock),BTS
Friends,BTS
We are Bulletproof : the Eternal,BTS
Inner Child,BTS
Moon,BTS
Outro : Ego,BTS
Interlude : Shadow,BTS
Respect,BTS
Tudo Ok,"Thiaguinho MT, Mila, JS o Mão de Ouro"
Perreo en La Luna,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid"
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem
all the good girls go to hell,Billie Eilish
SENTADÃO,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro"
Lottery (Renegade),K CAMP
Si Te Vas,"Sech, Ozuna"
Que Calor (with J Balvin & El Alfa),"Major Lazer, Diplo"
Rich Rich,Ufo361
Indeciso,"Reik, J Balvin, Lalo Ebratt"
i love you,Billie Eilish
Mejor,"Dalex, Sech"
Give No Fxk,"Migos, Travis Scott, Young Thug"
Come Around Me,Justin Bieber
Habitual,Justin Bieber
All Around Me,Justin Bieber
Get Me (feat. Kehlani),Justin Bieber
Second Emotion (feat. Travis Scott),Justin Bieber
Running Over (feat. Lil Dicky),Justin Bieber
Available,Justin Bieber
Breathe Deeper,Tame Impala
Changes,Justin Bieber
Confirmation,Justin Bieber
Mios mit Bars,Luciano
E.T.A.,Justin Bieber
Borderline,Tame Impala
Take It Out On Me,Justin Bieber
No Shame,5 Seconds of Summer
Might Not Give Up (feat. Young Thug),A Boogie Wit da Hoodie
That's What Love Is,Justin Bieber
Forever Yours - Avicii Tribute,"Kygo, Sandro Cavazza"
Baby,"Joker Bra, VIZE"
One More Year,Tame Impala
Good News,Mac Miller
wish you were gay,Billie Eilish
Only The Young - Featured in Miss Americana,Taylor Swift
Lost In Yesterday,Tame Impala
At Least For Now,Justin Bieber
you should see me in a crown,Billie Eilish
Too Good At Goodbyes,Sam Smith
Intentions,"Justin Bieber, Quavo"
Yikes,Nicki Minaj
Yellow Hearts,Ant Saunders
Birthday,Anne-Marie
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott
Good as Hell (feat. Ariana Grande) - Remix,Lizzo
"I Do It (ft. Big Sean, Lil Baby)",Lil Wayne
Get Me,"Justin Bieber, Kehlani"
"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna"
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles, Natti Natasha, Farruko"
EARFQUAKE,"Tyler, The Creator"
Pa' Olvidarme De Ella,"Piso 21, Christian Nodal"
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin"
Psycho,Red Velvet
Suge,DaBaby
Con Altura,"ROSALÍA, J Balvin, El Guincho"
Only Human,Jonas Brothers
Eleven,Khalid
Talk (feat. Disclosure),Khalid
Hot (Remix) [feat. Gunna and Travis Scott],"Travis Scott, Young Thug"
Weiss,Samra
Con Calma,"Daddy Yankee, Snow"
MIDDLE CHILD,J. Cole
Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam"
FML,Arizona Zervas
King Of My City,A Boogie Wit da Hoodie
Those Kinda Nights (feat. Ed Sheeran),Eminem
Mon Ami,Samra
Break My Stride,Matthew Wilder
Kein Wort,"Juju, Loredana, Miksu / Macloud"
Graveyard,Halsey
Wake Up Call (feat. Trippie Redd),KSI
Turn Me On (feat. Vula),"Riton, Oliver Heldens"
Hips Don't Lie (feat. Wyclef Jean),Shakira
Liar,Camila Cabello
Going Bad (feat. Drake),Meek Mill
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift
Panini,Lil Nas X
idontwannabeyouanymore,Billie Eilish
The London (feat. J. Cole & Travis Scott),"J. Cole, Young Thug"
223's (feat. 9lokknine),YNW Melly
Darkness,Eminem
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem
Blue World,Mac Miller
Liberdade Provisória,Henrique & Juliano
Unaccommodating (feat. Young M.A),Eminem
Donuts,Gzuz
Leaving Heaven (feat. Skylar Grey),Eminem
Zu Ende,"Samra, ELIF"
B.I.T.C.H.,Megan Thee Stallion
Look At Her Now,Selena Gomez
Bi Sonraki Hayatımda Gel,"Murda, Ezhel"
Legends,Juice WRLD
11 PM,Maluma
Post Malone (feat. RANI),Sam Feldt
In Too Deep,Eminem
Premonition - Intro,Eminem
I Can See,Mac Miller
Hand Me Downs,Mac Miller
No Regrets (feat. Don Toliver),Eminem
Complicated,Mac Miller
Lock It Up (feat. Anderson .Paak),Eminem
Marsh,Eminem
Stepdad,Eminem
"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",Eminem
Never Love Again,Eminem
Woods,Mac Miller
Farewell,Eminem
Everybody,Mac Miller
Alfred - Interlude,Eminem
Little Engine,Eminem
"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",Eminem
Still Learning,Halsey
Surf,Mac Miller
That's On Me,Mac Miller
Once A Day,Mac Miller
Big Drip,"Ufo361, Future"
Hands,Mac Miller
Dans l'espace (feat. Heuss l'Enfoiré),Gambi
Blanche,"Maes, Booba"
Vulnerable,Selena Gomez
Dance Again,Selena Gomez
Ring,Selena Gomez
Crowded Room (feat. 6LACK),Selena Gomez
People You Know,Selena Gomez
Up All Night,Khalid
Nice To Meet Ya,Niall Horan
Into the Unknown,"Idina Menzel, AURORA"
Let Me Get Me,Selena Gomez
A Sweeter Place (feat. Kid Cudi),Selena Gomez
Stuck In A Dream (feat. Gunna),Lil Mosey
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone
Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch
Start Wit Me (feat. Gunna),Roddy Ricch
Diamonds (with Normani),Megan Thee Stallion
Don't Call Me Up,Mabel
Death,"Trippie Redd, DaBaby"
Calma - Remix,"Pedro Capó, Farruko"
Cut You Off,Selena Gomez
Kinda Crazy,Selena Gomez
2002,Anne-Marie
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake
Family,"The Chainsmokers, Kygo"
GANG GANG,"JACKBOYS, Sheck Wes"
Had Enough (feat. Quavo & Offset),Don Toliver
WHAT TO DO? (feat. Don Toliver),"JACKBOYS, Travis Scott"
"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana
VALENTINO,24kGoldn
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv
Roller,Apache 207
Never Really Over,Katy Perry
One Kiss (with Dua Lipa),Calvin Harris
Fantasía,Ozuna
Trampoline,"SHAED, ZAYN"
GATTI,"JACKBOYS, Pop Smoke, Travis Scott"
Candy,Doja Cat
JACKBOYS,JACKBOYS
Combatchy (feat. MC Rebecca),"Anitta, Lexa, Luísa Sonza"
Old Town Road,Lil Nas X
Let Me Know (I Wonder Why Freestyle),Juice WRLD
Ne reviens pas,"Gradur, Heuss L'enfoiré"
New Rules,Dua Lipa
Cheirosa - Ao Vivo,Jorge & Mateus
Havana (feat. Young Thug),Camila Cabello
Surtada - Remix Brega Funk,"Dadá Boladão, Tati Zaqui, OIK"
Lover (Remix) [feat. Shawn Mendes],Taylor Swift
